LOCATION,SUBJECT,TIME,VALUE
CAN,TRY,2017,56.71452
CAN,UPPSRY,2017,34.412544
CAN,TRY_MEN,2017,50.368702
CAN,TRY_WOMEN,2017,62.985828
CAN,UPPSRY_MEN,2017,39.287178
CAN,UPPSRY_WOMEN,2017,29.595142
CHE,BUPPSRY,2008,13.19206
CHE,TRY,2008,33.652287
CHE,UPPSRY,2008,53.155655
CHE,TRY_MEN,2008,41.566307
CHE,TRY_WOMEN,2008,25.715227
CHE,UPPSRY_MEN,2008,48.812756
CHE,UPPSRY_WOMEN,2008,57.511192
CHE,BUPPSRY,2009,13.083202
CHE,TRY,2009,35.020153
CHE,UPPSRY,2009,51.896645
CHE,TRY_MEN,2009,42.763367
CHE,TRY_WOMEN,2009,27.210806
CHE,UPPSRY_MEN,2009,47.681431
CHE,UPPSRY_WOMEN,2009,56.147861
CHE,BUPPSRY,2010,14.966761
CHE,TRY,2010,33.881504
CHE,UPPSRY,2010,51.151737
CHE,TRY_MEN,2010,40.156902
CHE,TRY_WOMEN,2010,27.546822
CHE,UPPSRY_MEN,2010,48.062408
CHE,UPPSRY_WOMEN,2010,54.270248
CHE,BUPPSRY,2011,15.176706
CHE,TRY,2011,34.000179
CHE,UPPSRY,2011,50.823112
CHE,TRY_MEN,2011,39.874985
CHE,TRY_WOMEN,2011,28.06905
CHE,UPPSRY_MEN,2011,47.932545
CHE,UPPSRY_WOMEN,2011,53.741398
CHE,BUPPSRY,2012,14.334973
CHE,TRY,2012,35.291126
CHE,UPPSRY,2012,50.373901
CHE,TRY_MEN,2012,41.201698
CHE,TRY_WOMEN,2012,29.316168
CHE,UPPSRY_MEN,2012,47.09425
CHE,UPPSRY_WOMEN,2012,53.689278
CHE,BUPPSRY,2013,13.589899
CHE,TRY,2013,37.407192
CHE,UPPSRY,2013,49.002911
CHE,TRY_MEN,2013,43.047722
CHE,TRY_WOMEN,2013,31.693689
CHE,UPPSRY_MEN,2013,45.523087
CHE,UPPSRY_WOMEN,2013,52.527752
CHE,BUPPSRY,2014,12.776213
CHE,TRY,2014,38.428497
CHE,UPPSRY,2014,48.795288
CHE,TRY_MEN,2014,43.59951
CHE,TRY_WOMEN,2014,33.176338
CHE,UPPSRY_MEN,2014,45.272144
CHE,UPPSRY_WOMEN,2014,52.373722
CHE,BUPPSRY,2015,12.704829
CHE,TRY,2015,39.782719
CHE,UPPSRY,2015,47.512451
CHE,TRY_MEN,2015,44.213116
CHE,TRY_WOMEN,2015,35.279415
CHE,UPPSRY_MEN,2015,44.510803
CHE,UPPSRY_WOMEN,2015,50.563492
CHE,BUPPSRY,2016,12.564119
CHE,TRY,2016,41.235474
CHE,UPPSRY,2016,46.200405
CHE,TRY_MEN,2016,45.940552
CHE,TRY_WOMEN,2016,36.458977
CHE,UPPSRY_MEN,2016,43.065212
CHE,UPPSRY_WOMEN,2016,49.38319
CHE,BUPPSRY,2017,12.191644
CHE,TRY,2017,42.594601
CHE,UPPSRY,2017,45.213757
CHE,TRY_MEN,2017,47.220692
CHE,TRY_WOMEN,2017,37.898529
CHE,UPPSRY_MEN,2017,42.019848
CHE,UPPSRY_WOMEN,2017,48.455978
CHL,BUPPSRY,2009,43.493385
CHL,TRY,2009,17.120726
CHL,UPPSRY,2009,39.385891
CHL,TRY_MEN,2009,17.109118
CHL,TRY_WOMEN,2009,17.131065
CHL,UPPSRY_MEN,2009,40.322689
CHL,UPPSRY_WOMEN,2009,38.55164
CHL,BUPPSRY,2011,42.320229
CHL,TRY,2011,17.813892
CHL,UPPSRY,2011,39.865879
CHL,TRY_MEN,2011,17.908915
CHL,TRY_WOMEN,2011,17.731251
CHL,UPPSRY_MEN,2011,40.357674
CHL,UPPSRY_WOMEN,2011,39.438148
CHL,BUPPSRY,2013,38.585766
CHL,TRY,2013,21.089819
CHL,UPPSRY,2013,40.324417
CHL,TRY_MEN,2013,21.040022
CHL,TRY_WOMEN,2013,21.132866
CHL,UPPSRY_MEN,2013,40.646984
CHL,UPPSRY_WOMEN,2013,40.045582
CHL,BUPPSRY,2015,35.133507
CHL,TRY,2015,22.475199
CHL,UPPSRY,2015,42.391296
CHL,TRY_MEN,2015,22.454159
CHL,TRY_WOMEN,2015,22.493267
CHL,UPPSRY_MEN,2015,42.627129
CHL,UPPSRY_WOMEN,2015,42.188766
CHN,BUPPSRY,2010,75.53817
CHN,TRY,2010,9.6811743
CHN,UPPSRY,2010,14.780653
CHN,TRY_MEN,2010,10.760453
CHN,TRY_WOMEN,2010,8.5629225
CHN,UPPSRY_MEN,2010,16.555506
CHN,UPPSRY_WOMEN,2010,12.94171
COL,BUPPSRY,2014,48.033009
COL,TRY,2014,22.356598
COL,UPPSRY,2014,29.610394
COL,TRY_MEN,2014,20.628479
COL,TRY_WOMEN,2014,23.951704
COL,UPPSRY_MEN,2014,30.114704
COL,UPPSRY_WOMEN,2014,29.144901
COL,BUPPSRY,2015,49.589104
COL,TRY,2015,21.562889
COL,UPPSRY,2015,28.848007
COL,TRY_MEN,2015,19.608345
COL,TRY_WOMEN,2015,23.391415
COL,UPPSRY_MEN,2015,29.26355
COL,UPPSRY_WOMEN,2015,28.459257
COL,BUPPSRY,2016,47.523586
COL,TRY,2016,22.247128
COL,UPPSRY,2016,30.229284
COL,TRY_MEN,2016,20.174047
COL,TRY_WOMEN,2016,24.191235
COL,UPPSRY_MEN,2016,30.480776
COL,UPPSRY_WOMEN,2016,29.993441
COL,BUPPSRY,2017,46.221489
COL,TRY,2017,22.491623
COL,UPPSRY,2017,31.28689
COL,TRY_MEN,2017,20.590368
COL,TRY_WOMEN,2017,24.279985
COL,UPPSRY_MEN,2017,31.22529
COL,UPPSRY_WOMEN,2017,31.34483
CRI,TRY_WOMEN,2007,22.010872
CRI,UPPSRY_MEN,2007,14.148153
CRI,UPPSRY_WOMEN,2007,16.391228
CRI,BUPPSRY,2008,61.940212
CRI,TRY,2008,22.312418
CRI,UPPSRY,2008,15.747368
CRI,TRY_MEN,2008,21.791302
CRI,TRY_WOMEN,2008,22.817001
CRI,UPPSRY_MEN,2008,14.330508
CRI,UPPSRY_WOMEN,2008,17.119276
CRI,BUPPSRY,2009,61.093235
CRI,TRY,2009,23.416771
CRI,UPPSRY,2009,15.489995
CRI,TRY_MEN,2009,22.682451
CRI,TRY_WOMEN,2009,24.131628
CRI,UPPSRY_MEN,2009,14.914705
CRI,UPPSRY_WOMEN,2009,16.050037
CRI,BUPPSRY,2010,63.147984
CRI,TRY,2010,20.980572
CRI,UPPSRY,2010,15.871445
CRI,TRY_MEN,2010,20.027973
CRI,TRY_WOMEN,2010,21.925285
CRI,UPPSRY_MEN,2010,14.677197
CRI,UPPSRY_WOMEN,2010,17.055805
CRI,BUPPSRY,2011,62.58416
CRI,TRY,2011,21.594719
CRI,UPPSRY,2011,15.821122
CRI,TRY_MEN,2011,20.980396
CRI,TRY_WOMEN,2011,22.210791
CRI,UPPSRY_MEN,2011,14.645591
